"Occurrences","Word","Log_Freq_HAL","LgSUBTLWF","OLD","PLD","Concreteness_Rating","Age_Of_Acquisition","Body_Object_Interaction","Emotional_Valence","Emotional_Arousal","Emotional_Dominance","BG_Mean","NPhon","NSyll","NMorph","POS","I_Zscore","Obs","I_Mean_Accuracy","I_NMG_Zscore","I_NMG_Obs","I_NMG_Mean_Accuracy"
"1","accident","9.319","3.618","2.700","3.500","3.260","5.300","2.818","2.550","4.930","3.000","3,441.143","7","3","2","NN","-0.610","27","0.97","-0.450","#","1.000"
"1","act","11.187","3.745","1.500","1.000","2.460","6.420","#","5.640","4.190","6.110","2,330.000","3","1","1","NN|VB","-0.560","26","1.00","-0.434","#","1.000"
"1","aerial","7.952","2.114","1.900","1.700","3.040","11.500","#","6.040","3.670","5.170","5,554.600","5","2","2","JJ","0.094","25","0.84","-0.231","#","0.962"
"1","affection","7.555","2.635","2.650","1.950","2.220","8.530","#","7.890","5.640","6.600","3,557.750","6","3","3","NN","-0.316","27","0.88","-0.599","#","1.000"
"1","aisle","7.236","2.580","1.900","1.000","4.350","5.950","3.000","5.170","2.500","4.870","3,746.250","2","1","1","NN","-0.229","28","0.97","0.041","#","1.000"
"1","apology","8.325","2.906","2.700","2.600","2.860","5.560","#","6.240","4.000","5.100","1,814.167","7","4","2","NN","-0.453","26","1.00","-0.294","#","1.000"
"1","berry","7.971","2.253","1.750","1.000","4.930","5.209","5.524","#","#","#","4,309.250","4","2","1","NN","-0.663","28","1.00","-0.572","#","0.966"
"1","blame","9.760","3.477","1.650","1.650","2.060","6.480","1.741","2.940","4.810","3.330","2,929.250","4","1","1","VB|NN","-0.835","25","1.00","-0.608","#","0.962"
"1","boot","10.689","2.755","1.000","1.000","4.960","3.890","6.556","5.300","3.950","6.240","1,814.333","3","1","1","NN|VB","-0.839","26","0.97","-0.462","#","1.000"
"1","bother","9.924","3.536","1.800","1.750","2.000","6.500","1.957","4.440","4.200","4.220","4,552.000","4","2","1","VB|NN|minor","-0.452","27","1.00","-0.313","#","0.964"
"1","brother","10.073","4.161","1.900","1.900","4.430","3.630","5.043","6.180","4.480","5.460","4,442.667","5","2","1","NN","-0.609","27","1.00","-0.660","#","0.964"
"1","burner","7.045","1.973","1.800","1.750","4.780","8.000","#","3.900","4.670","4.640","4,639.400","4","2","2","NN","-0.370","27","0.91","-0.429","#","1.000"
"1","business","11.963","4.214","2.600","2.700","3.280","7.470","2.167","5.480","3.710","5.350","6,238.143","6","2","1","NN","-0.584","27","1.00","-0.451","#","1.000"
"1","butter","8.832","3.018","1.300","1.000","4.900","5.780","6.217","6.360","3.370","5.670","5,246.000","4","2","1","NN|VB","-0.475","27","1.00","-0.465","#","1.000"
"1","cancer","9.810","3.057","1.700","1.700","3.860","8.390","4.000","1.900","5.140","2.900","5,902.800","5","2","1","NN","-0.774","25","1.00","-0.505","#","1.000"
"1","cash","10.584","3.568","1.250","1.000","4.480","4.840","6.360","7.510","6.590","6.160","3,197.667","3","1","1","NN|VB","-0.788","27","0.97","-0.675","#","1.000"
"1","cause","11.286","4.199","1.750","1.000","2.430","5.840","1.609","5.140","3.480","5.170","2,998.500","3","1","1","NN|VB","-0.698","28","1.00","-0.631","#","1.000"
"1","champion","9.017","3.029","2.850","3.250","3.820","8.610","#","7.330","4.740","5.880","3,388.286","7","2","1","NN|VB","-0.625","24","1.00","-0.032","#","1.000"
"1","circuit","9.773","2.533","2.700","1.800","3.830","11.780","3.077","4.820","4.350","5.560","1,760.833","5","2","1","NN","-0.421","27","1.00","-0.075","#","1.000"
"1","circus","8.137","2.940","2.250","1.750","4.430","4.530","3.720","5.850","5.450","4.940","1,732.400","5","2","1","NN","-0.442","26","1.00","0.038","#","0.963"
"1","cologne","6.860","2.209","2.750","1.900","4.760","8.260","5.542","6.050","3.600","5.440","2,869.667","5","2","1","NN","-0.351","25","0.97","-0.023","#","0.962"
