"Occurrences","Word","Log_Freq_HAL","LgSUBTLWF","OLD","PLD","Concreteness_Rating","Age_Of_Acquisition","Body_Object_Interaction","Emotional_Valence","Emotional_Arousal","Emotional_Dominance","BG_Mean","NPhon","NSyll","NMorph","POS","I_Zscore","Obs","I_Mean_Accuracy","I_NMG_Zscore","I_NMG_Obs","I_NMG_Mean_Accuracy"
"1","accidental","7.760","2.188","3.350","4.200","2.170","6.750","#","3.460","4.000","3.410","3,733.778","9","4","3","JJ","-0.205","26","0.97","-0.434","#","1.000"
"1","adapt","8.128","2.130","1.950","1.900","2.410","9.000","#","5.840","3.900","5.750","1,354.000","5","2","1","VB","-0.556","27","1.00","-0.564","#","0.964"
"1","air","11.304","3.851","1.450","1.000","4.110","3.940","3.792","6.710","3.250","5.720","1,647.500","2","1","1","NN|VB","-0.712","26","1.00","-0.758","#","1.000"
"1","alarm","8.630","3.183","1.950","2.150","4.470","6.390","3.292","3.860","6.850","6.580","4,311.500","5","2","1","NN|VB","-0.554","27","1.00","-0.774","#","1.000"
"1","alone","10.840","4.197","1.750","1.600","2.860","4.940","2.208","3.850","4.000","4.500","5,573.500","4","2","1","RB|JJ","-0.727","28","0.94","-0.752","#","1.000"
"1","altruistic","6.353","1.279","#","#","#","#","#","#","#","#","4,323.778","10","4","3","JJ","#","#","#","#","#","#"
"1","as","14.787","5.053","1.100","1.000","1.330","6.104","#","#","#","#","3,062.000","2","1","1","minor|RB","-0.469","27","0.94","-0.742","#","0.964"
"1","back","12.882","5.011","1.000","1.000","4.330","5.305","3.917","4.760","2.590","5.220","2,206.667","3","1","1","RB|JJ|NN|VB","-0.806","28","0.94","-0.636","#","1.000"
"1","ban","9.371","2.207","1.000","1.000","2.370","10.110","#","3.380","5.200","5.860","4,524.500","3","1","1","NN|VB","-0.482","28","0.97","-0.791","#","1.000"
"1","barrier","8.883","2.240","1.900","1.900","4.410","9.110","#","4.470","4.700","4.880","5,393.500","5","2","1","NN","-0.437","27","0.97","-0.352","#","0.964"
"1","blubber","4.942","1.643","2.300","1.950","3.930","7.840","3.480","3.850","4.270","4.720","3,274.667","5","2","1","NN|VB","-0.306","27","0.97","-0.429","#","0.964"
"1","body","11.663","3.999","1.700","1.250","4.790","4.280","6.038","5.950","4.620","5.760","1,015.667","4","2","1","NN","-0.629","28","1.00","-0.677","#","1.000"
"1","both","12.600","4.178","1.650","1.250","2.970","4.772","1.478","#","#","#","2,018.000","3","1","1","minor","-0.672","25","1.00","-0.501","#","0.962"
"1","buoyancy","5.176","1.279","3.700","2.950","3.480","11.840","#","#","#","#","1,712.571","6","2","3","NN","0.522","27","0.72","0.077","#","1.000"
"1","catch","10.025","3.840","1.650","1.350","4.110","4.610","2.320","5.640","4.000","5.470","3,993.250","3","1","1","VB|NN","-0.764","27","1.00","-0.537","#","1.000"
